종목코드,종목명,시장,현재가,전일비,등락률,거래량,거래대금,수집시간
252670,KODEX 200선물인버스2X,KOSPI,283,-3,-1.05%,2856833136,802502,2026-02-23 16:24:14
004410,서울식품,KOSPI,223,51,+29.65%,214133918,43538,2026-02-23 16:24:14
114800,KODEX 인버스,KOSPI,1674,-11,-0.65%,202693397,337974,2026-02-23 16:24:14
152550,한국ANKOR유전,KOSPI,276,39,+16.46%,159080014,44168,2026-02-23 16:24:14
088350,한화생명,KOSPI,5970,-630,-9.55%,110167028,717404,2026-02-23 16:24:14
233740,KODEX 코스닥150레버리지,KOSPI,18380,-510,-2.70%,75079032,1419811,2026-02-23 16:24:14
251340,KODEX 코스닥150선물인버스,KOSPI,2170,30,+1.40%,60180025,129113,2026-02-23 16:24:14
006340,대원전선,KOSPI,5440,1255,+29.99%,48456272,250930,2026-02-23 16:24:14
229200,KODEX 코스닥150,KOSPI,19965,-260,-1.29%,45024587,911926,2026-02-23 16:24:14
000400,롯데손해보험,KOSPI,2725,200,+7.92%,44429302,127865,2026-02-23 16:24:14
003280,흥아해운,KOSPI,1964,26,+1.34%,39468158,78556,2026-02-23 16:24:14
018880,한온시스템,KOSPI,4620,-325,-6.57%,38212120,183106,2026-02-23 16:24:14
252710,TIGER 200선물인버스2X,KOSPI,303,-3,-0.98%,36854432,11007,2026-02-23 16:24:14
462330,KODEX 2차전지산업레버리지,KOSPI,1993,-82,-3.95%,33521411,68337,2026-02-23 16:24:14
001510,SK증권,KOSPI,1657,-212,-11.34%,32116082,54733,2026-02-23 16:24:14
004060,SG세계물산,KOSPI,768,177,+29.95%,30132757,21868,2026-02-23 16:24:14
012030,DB,KOSPI,2200,260,+13.40%,25872895,57673,2026-02-23 16:24:14
005930,삼성전자,KOSPI,193000,2900,+1.53%,24699658,4783938,2026-02-23 16:24:14
010820,퍼스텍,KOSPI,7270,550,+8.18%,22647884,165031,2026-02-23 16:24:14
009290,광동제약,KOSPI,11080,680,+6.54%,21092225,249044,2026-02-23 16:24:14
010170,대한광통신,KOSDAQ,4760,650,+15.82%,56268354,266145,2026-02-23 16:24:16
032820,우리기술,KOSDAQ,16930,2080,+14.01%,45482844,762606,2026-02-23 16:24:16
024060,흥구석유,KOSDAQ,21850,2810,+14.76%,42162210,898807,2026-02-23 16:24:16
016600,큐캐피탈,KOSDAQ,400,30,+8.11%,34572039,14375,2026-02-23 16:24:16
187660,현대ADM,KOSDAQ,12060,2780,+29.96%,28898197,318561,2026-02-23 16:24:16
246690,TS인베스트먼트,KOSDAQ,2090,210,+11.17%,26374506,57112,2026-02-23 16:24:16
066360,체리부로,KOSDAQ,1171,102,+9.54%,26371351,32164,2026-02-23 16:24:16
006910,보성파워텍,KOSDAQ,12320,-360,-2.84%,25944515,329415,2026-02-23 16:24:16
024840,KBI메탈,KOSDAQ,2300,455,+24.66%,24991118,55109,2026-02-23 16:24:16
067390,아스트,KOSDAQ,941,121,+14.76%,24574670,23517,2026-02-23 16:24:16
065500,오리엔트정공,KOSDAQ,3175,400,+14.41%,22703534,72140,2026-02-23 16:24:16
027710,팜스토리,KOSDAQ,1403,195,+16.14%,20949382,29333,2026-02-23 16:24:16
076610,해성옵틱스,KOSDAQ,1110,183,+19.74%,20309195,22291,2026-02-23 16:24:16
038500,삼표시멘트,KOSDAQ,15750,1240,+8.55%,18736768,293419,2026-02-23 16:24:16
267320,나인테크,KOSDAQ,3860,80,+2.12%,17822079,70492,2026-02-23 16:24:16
293580,나우IB,KOSDAQ,2295,220,+10.60%,17318302,39293,2026-02-23 16:24:16
056090,시지메드텍,KOSDAQ,2930,625,+27.11%,14809994,40684,2026-02-23 16:24:16
083660,CSA 코스믹,KOSDAQ,265,-94,-26.18%,14561794,3830,2026-02-23 16:24:16
038530,케이바이오,KOSDAQ,402,-56,-12.23%,13991489,5836,2026-02-23 16:24:16
900070,글로벌에스엠,KOSDAQ,696,123,+21.47%,13245200,9258,2026-02-23 16:24:16
